de	1	Obama receives Netanyahu	Obama empfängt Netanjahu	Obama Netanyahu empfängt	Obama empfängt Netanyahu	transliteration     	v_order       
en	863	For me it was not possible to see the moment.	Für mich war es nicht möglich, den Moment zu sehen.	Für mich war es nicht möglich, den Moment zu sehen.	Für mich war es nicht möglich, den Augenblick zu sehen.	x     	x       
en	865	Speaking to SBS6, Moreno said: "I know how it feels, I know how difficult such a thing can be.	Zu SBS6 sagte Moreno: "Ich weiß, wie es sich anfühlt, ich weiß, wie schwierig so etwas sein kann.	Gegenüber SBS6, Moreno sagte: "Ich weiß, wie es sich anfühlt, ich weiß, wie schwer so etwas sein kann.	Im Gespräch mit SBS6 sagte Moreno: "Ich weiß, wie es sich anfühlt, ich weiß, wie schwer so etwas sein kann.	mwe x    	mwe v_order      
en	866	I feel very bad about it, I am so sorry.	Ich fühle mich sehr schlecht daran, es tut mir so leid.	Ich fühle mich sehr schlecht, ich bin so traurig.	Ich fühle mich sehr schlecht dabei. Es tut mir so leid.	prep     	prep_miss       
en	878	A Downing Street spokeswoman said the text was believed to have come from Cameron's constituency office.	Eine Downing-Street-Sprecherin sagte, der Text sei vermutlich aus Camerons Wahlkreisbüro gekommen.	Eine Sprecherin der Downing Street sagte, der Text soll aus Camerons Wahlkreis.	Eine Downing-Street-Sprecherin sagte, dass der Text wahrscheinlich von Camerons Wahlkreisbüro gekommen sei.	x     	n-coll_comp v_miss      
en	884	With the ball, Moeen Ali is developing as a spinner and Adil Rashid, even if he is an unknown quantity at Test level, represents an attacking option.	Mit dem Ball entwickelt sich Moeen Ali als Spinner und Adil Rashid, auch wenn er eine unbekannte Menge auf Testebene ist, stellt eine Angriffsoption dar.	Mit dem Ball, Moeen Ali entwickelt als Spinner und Adil Rashid, selbst wenn er eine unbekannte Menge an Test, stellt eine Option intervenieren.	Mit dem Ball entwickelt sich Moeen Ali als Spin-Bowler und Adil Rashid, selbst wenn er eine unbekannte Größe auf Test-Ebene darstellt, ist eine Option für den Angriff.	x     	v_order prep n-coll_comp n/v    
en	888	There were no question marks over Joe Root, for example, leading up to the announcement because - and I have said this before - players are their own best selectors.	Es gab keine Fragezeichen über Joe Root zum Beispiel, der zur Ankündigung führt, weil - und das habe ich schon gesagt - die Spieler ihre eigenen besten Auswahlspieler sind.	Es gab keine Zweifel, Joe Root, zum Beispiel im Vorfeld der Ankündigung, denn - und ich habe das vorhin gesagt - die Spieler sind ihre besten Entkerner.	Es gab keine Fragezeichen bei Joe Root, zum Beispiel, und das führte zu der Nominierung, da - und ich habe dies vorhin gesagt - Spieler ihre eigenen besten Auswähler sind.	prep art_ext comp   	prep->pun n/v art_ext n_lex    
en	890	Hopefully if he punches out more runs for Yorkshire another opportunity will come along.	Ich hoffe, dass, wenn er mehr läuft für Yorkshire eine weitere Chance kommt.	Hoffentlich tritt mehr läuft, wenn er eine weitere Gelegenheit für Yorkshire kommen wird.	Wenn er hoffentlich weitere Läufe für Yorkshire herausschlägt, kommt eine weitere Chance.	diff     	diff       
en	897	He is an X-factor cricketer, which we at Yorkshire saw early this season when he made 236 against us on a Trent Bridge pitch that was doing a bit.	Er ist ein X-Faktor Cricketer, den wir in Yorkshire Anfang dieser Saison gesehen haben, als er 236 gegen uns auf einem Trent Bridge Spielfeld machte, der ein bisschen machte.	Er ist ein X-Faktor, Kricketspieler, die wir in dieser Saison in Yorkshire schon gesehen haben, als er 236 gegen uns ein großer Stellplatz, der etwas tat.	Er ist ein X-Faktor-Cricketspieler, was wir bei Yorkshire früh in dieser Saison sahen, als er 236 gegen uns auf einem Trent Bridge Platz erzielte, was uns sehr traf.	n-coll literal    	n-coll prep_ext prep_miss literal    
en	898	He must at least be afforded the same opportunity as those before him but this will of course depend on the make-up of the side in the UAE.	Er muss zumindest die gleiche Chance wie die vor ihm haben, aber das hängt natürlich von der Zusammensetzung der Seite in den VAE ab.	Er muss zumindest die gleiche Chance wie jene vor ihm, aber das wird natürlich auf die Zusammensetzung der Seite in den Vereinigten Arabischen Emiraten.	Er muss mindestens die gleichen Chancen wie die vor ihm erhalten, aber dies hängt natürlich von der Mannschaftsaufstellung in den Vereinigten Arabischen Emiraten ab.	x     	v_miss v_miss prep     
en	906	He will learn a lot on this tour.	Auf dieser Tour wird er viel lernen.	Er wird auf dieser Tour eine Menge lernen.	Er wird auf dieser Tour eine Menge lernen.	x     	x       
en	913	Colly's Durham team-mate Ben Stokes is rested for the one-dayers, Root was given a similar break against Australia and I for one have no issue with this.	Colly 's Durham Teamkollege Ben Stokes ist für die Eindayers ausgeruht, Root erhielt eine ähnliche Pause gegen Australien und ich für einen habe kein Thema damit.	Colly 's Durham Teamkollege Ben Stokes ist ausgeruht für die dayers, Root war ein ähnlicher Bruch gegen Australien und ich für meinen Teil habe kein Problem damit.	Collys Teamkollege bei Durham, Ben Stokes, wird bei den One-Dayers nicht eingesetzt, Root erhielt eine ähnliche Pause gegen Australien und ich für meinen Teil habe kein Problem damit.	n-coll ne literal n_lex  	n-coll ne v_order v_lex ambig_n   
en	916	Such decisions are never taken lightly.	Solche Entscheidungen werden nie auf die leichte Schulter genommen.	Solche Entscheidungen sind nie auf die leichte Schulter nehmen.	Solche Entscheidungen werden nicht leichten Herzens getroffen.	x     	x       
en	917	Brexit camp might win the day if economy is in doldrums by 2017	Brexit Camp könnte den Tag gewinnen, wenn sich die Wirtschaft bis 2017 in Dolmmeln befindet	Brexit-Lager gewinnen könnte, wenn die Wirtschaft in der Flaute bis 2017	Das Brexit-Lager (Brexit = Ausstieg Großbritanniens aus der EU) könnte an Zulauf gewinnen, wenn die Wirtschaft bis zum Jahr 2017 in eine Flaute gerät	art_miss untrans diff   	art_miss diff      
en	919	Foreigners have their Corbyns and Nigel Farages too.	Auch Ausländer haben ihre Corbyns und Nigel Farages.	Die Ausländer haben ihre Corbyns und Nigel Farages zu.	Ausländer haben auch ihre Corbyns und Nigel Farages.	x     	art_ext adv_lex      
en	924	It's all about me.	Es geht alles um mich.	Es ist alles über mich.	Es geht immer um mich.	x     	x       
en	928	He is a fading force too.	Er ist auch eine verblassende Kraft.	Er ist auch eine verblassende Kraft.	Er ist auch eine verblassende Kraft.	x     	x       
en	935	For all his foolishness Ed Miliband knew who his enemies were.	Für alle seine Dummheit Ed Miliband wusste, wer seine Feinde waren.	Für seine Dummheit Ed Miliband wusste, wer seine Feinde waren.	Bei all seiner Verrücktheit wusste Ed Miliband, wer seine Feinde waren.	prep     	det_miss prep      
en	942	Corbyn's official position on Europe is what I will kindly call evolving.	Der offizielle Standpunkt von Corbyn zu Europa ist das, was ich gerne weiterentwickeln werde.	Corbyns offizielle Position in Europa ist das, was ich rufen werde.	Corbyns offizielle Position zu Europa ist - ich drücke es mal freundlich aus - in der Entwicklung.	art_ext diff    	prep diff      
en	943	He says he'd like us to stay in a reformed EU.	Er sagt, er möchte, dass wir in einer reformierten EU bleiben.	Er sagt, er würde uns in einer reformierten EU.	Er sagt, dass wir in einer reformierten EU bleiben sollten.	x     	v_miss       
en	947	Hilary's struggle was more attractive.	Hilary Kampf war attraktiver.	Hilary 's Kampf war attraktiver.	Hilarys Kampf war noch attraktiver.	ne_poss     	ne_poss       
en	950	It's fair enough not to give Cameron a free pass on Europe, allowing him to take Labour's support for granted in the referendum campaign, as McDonnell has said.	Es ist fair genug, Cameron keinen freien Pass auf Europa zu geben, damit er die Unterstützung der Labour-Partei im Rahmen des Referendums in Anspruch nehmen kann, wie es McDonnell gesagt hat.	Es ist nicht fair, einen Freibrief für Europa Cameron, um die Unterstützung von Labour in der Referendumskampagne, sagte McDonnell.	Es ist richtig, Cameron keine Freikarte für Europa zu geben, die ihm erlaubt, Labours Unterstützung in der Referendumskampagne für eine Selbstverständlichkeit zu halten, wie McDonnell es sagte.	pron_order     	neg v_miss phrase_structure     
en	956	Experts criticise Public Health England e-cigarettes review	Experten kritisieren Public Health England E-Zigaretten überprüfen	Experten kritisieren Public Health England E-Zigaretten überprüfen	Experten kritisieren Bericht von Public Health England über E-Zigaretten	n/v     	n/v       
en	958	Experts writing in the British Medical Journal (BMJ) joined the Lancet in criticising the evidence used by Public Health England (PHE) in its report on e-cigarettes.	Experten schreiben im British Medical Journal (BMJ) die Lancet bei der Kritik an den Beweisen, die von Public Health England (Phe) in ihrem Bericht über E-Zigaretten verwendet wurden.	Experten schreiben im British Medical Journal (BMJ) trat in der Lancet kritisierten die Beweise von Public Health England (Phe) in ihrem Bericht über E-Zigaretten.	Experten, die im British Medical Journal (BMJ) schreiben, schlossen sich Lancet an, indem sie die von Public Health England (PHE) in ihrem Bericht über e-Zigaretten verwendeten Nachweise kritisieren.	pron_rel_miss v_miss    	pron_rel_miss v_lex passive     
en	961	An editorial in the Lancet medical journal last month attacked the "extraordinarily flimsy foundation" on which PHE based its main conclusion.	Eine Redaktion im "Lancet Medical Journal" im vergangenen Monat attackierte die "außergewöhnlich flimmerische Stiftung", auf der Phe seinen wichtigsten Abschluss gründet.	In einem Leitartikel der medizinischen Fachzeitschrift Lancet im vergangenen Monat die "außerordentlich schwache Fundament", auf dem die Hauptschlußfolgerung Phe.	Ein Leitartikel in der medizinischen Fachzeitschrift Lancet letzten Monat griff die "außerordentlich windige Grundlage" an, auf der PHE seine wichtigste Schlussfolgerung begründete.	x     	v_miss v_miss      
en	969	The rationale for selecting the members of the panel is not provided, but they include several known e-cigarette champions, some of whom also declare industry funding in the paper.	Die Begründung für die Auswahl der Mitglieder des Gremiums ist nicht vorgesehen, aber dazu gehören mehrere bekannte E-Zigaretten-Champions, von denen einige auch die Industrieförderung in dem Papier erklären.	Die Begründung für die Auswahl der Mitglieder des Gremiums ist nicht vorgesehen, aber sie umfassen mehrere bekannte E-Zigaretten, von denen einige auch in der Zeitung die Mittel der Industrie erklären.	Die Gründe für die Auswahl der Mitglieder des Gremiums werden nicht geliefert, aber dazu gehören mehrere bekannte E-Zigaretten-Champions, von denen einige auch eine Branchen-Finanzierung in dem Papier angeben.	x     	n-coll_comp phrase_order_adv_place      
en	971	The meeting was also attended by the tobacco lead at PHE.	An dem Treffen war auch die Tabakführung bei Phe beteiligt.	Die Sitzung wurde auch von der Tabakindustrie an Phe führen.	An der Sitzung nahmen auch die Tabak-Leitung von PHE teil.	x     	v_miss n/v      
en	990	The idea that no one else would show that is a joke, it's ludicrous, it's obviously nonsense.	Die Idee, dass niemand anderes zeigen würde, das ist ein Witz, es ist aberwitzig, es ist offensichtlich Unsinn.	Die Idee, dass niemand sonst würde zeigen, dass ist ein Witz, es ist lächerlich, es ist natürlich Unsinn.	Die Idee, dass sonst niemand dies zeigen würde, ist ein Witz, es ist lächerlich, es ist natürlich Unsinn.	conj/pron     	conj/pron       
en	991	Johnson said: "I don't see why a regressive tax should fund programmes that could be funded without subsidy.	Johnson sagte: "Ich sehe nicht, warum eine regressive Steuer Programme finanzieren sollte, die ohne Subvention finanziert werden könnten.	Johnson sagte: "Ich sehe nicht, warum eine regressive Steuer Programme finanzieren sollten, die ohne Subventionen finanziert werden könnten.	Johnson sagte: "Ich sehe nicht, warum eine regressive Steuer Programme finanziert, die auch ohne Subventionen finanziert werden könnte.	x     	v_infl       
en	993	Frankly other channels would give their right arm for it.	Ehrlich gesagt, würden andere Kanäle ihren richtigen Arm dafür geben.	Ganz andere Kanäle würden ihren rechten Arm dafür geben.	Ehrlich gesagt würden andere Kanäle ihren rechten Arm dafür geben.	pun_ext ambig_a    	adv_lex       
en	1010	Related: Researchers read and write brain activity with light	Verwandte: Forscher lesen und schreiben Hirnaktivität mit Licht	Related: Forscher lesen und schreiben mit Gehirntätigkeit	Weiteres zu diesem Thema: Forscher lesen und schreiben Hirnaktivität mit Licht	v_infl     	untrans n_miss      
en	1014	The bubbles, he found, amplify the ultrasonic waves which then pass inside the worms.	Die Blasen, fand er, verstärken die Ultraschallwellen, die dann in den Würmern passieren.	Die Blasen, fand er, die Ultraschall-Wellen, die dann in den Würmern.	Die Blasen, fand er heraus, verstärken die Ultraschallwellen, die dann in die Würmer eindringen.	ambig_v     	v_miss v_miss      
en	1020	But Chalasani said that sonogenetics could have some advantages over that technique.	Aber Chalasani sagte, dass die Sonogenetik einige Vorteile gegenüber dieser Technik haben könnte.	Aber das sagte Chalasani sonogenetics könnte einige Vorteile gegenüber dieser Technik.	Aber Chalasani sagte, dass Sonogenetics einige Vorteile gegenüber dieser Technik haben könnte.	art_ext     	pron_ext v_order untrans     
en	1025	The adverts shaming Britain's arms trade	Die Werbespots erschütterten den britischen Waffenhandel	Die Werbung Großbritanniens Waffenhandel anstoßen	Die Anzeigen beschämen Großbritanniens Waffenhandel	art_ext     	v_lex_order       
en	1027	Horrific killer drones!	Grausame Killer-Drohnen!	Grausame Killer-Drohnen!	Schreckliche Mörder-Drohnen!	x     	x       
en	1029	Cluster bombs!	Streubomben!	Streubomben!.	Streubomben!	x     	x       
en	1032	Related: DSEI weapons fair: authoritarian regimes descend on London	Verwandte: DSba-Waffen-Messe: Autoritäre Regime steigen auf London ab	Related: DSEi Waffen gerecht: Autoritäre Regimes strömen in London	Verwandt: DSEI Waffen-Messe: Autoritäre Regime strömen nach London	ne_trans ambig_v prep   	untrans n/a n_infl prep    
